,CODI EOI,CODI INE,NOM ESTACIO,AREA URBANA,MUNICIPI,LATITUD,LONGITUD,ALTITUD,DATA,YEAR,MONTH,DAY,HOUR,OBSERVATION
0,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,1,5.0
1,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,2,5.0
2,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,3,4.0
3,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,4,5.0
4,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,5,5.0
5,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,6,7.0
6,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,7,14.0
7,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,8,21.0
8,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,9,15.0
9,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,10,13.0
10,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,11,7.0
11,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,12,14.0
12,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,13,10.0
13,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,14,6.0
14,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,15,8.0
15,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,16,5.0
16,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,17,4.0
17,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,18,6.0
18,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,19,9.0
19,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,20,5.0
20,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,21,8.0
21,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,22,16.0
22,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,23,17.0
23,8305006,8305,Vilafranca del Penedès,peri-urban,Vilafranca del Penedès,41.346812,1.6865990000000002,192,2016-07-15,2016,7,15,0,13.0
24,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,1,1.0
25,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,2,1.0
26,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,3,1.0
27,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,4,1.0
28,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,5,1.0
29,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,6,1.0
30,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,7,1.0
31,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,8,1.0
32,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,9,1.0
33,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,10,1.0
34,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,11,1.0
35,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,12,1.0
36,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,13,1.0
37,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,14,1.0
38,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,15,2.0
39,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,16,2.0
40,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,17,2.0
41,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,18,2.0
42,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,19,1.0
43,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,20,1.0
44,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,21,2.0
45,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,22,2.0
46,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,23,2.0
47,25196001,25196,Montsec,rural,Sant Esteve de la Sarga,42.051321,0.729599,1570,2016-07-15,2016,7,15,0,2.0
48,8283004,8283,Tona (Zona Esportiva),rural,Tona,41.84666,2.217501,620,2016-07-15,2016,7,15,1,4.0
49,8283004,8283,Tona (Zona Esportiva),rural,Tona,41.84666,2.217501,620,2016-07-15,2016,7,15,2,4.0
50,8283004,8283,Tona (Zona Esportiva),rural,Tona,41.84666,2.217501,620,2016-07-15,2016,7,15,3,5.0
51,8283004,8283,Tona (Zona Esportiva),rural,Tona,41.84666,2.217501,620,2016-07-15,2016,7,15,4,5.0
