,CODI EOI,CODI INE,NOM ESTACIO,AREA URBANA,MUNICIPI,LATITUD,LONGITUD,ALTITUD,DATA,YEAR,MONTH,DAY,HOUR,OBSERVATION,M_O3_ppmv,M_T_celcius,M_P,M_O3_ug/m3
0,43123005,43123,Reus,peri-urban,Reus,41.150803,1.120201,102,2016-07-15,2016,7,15,1,52.0,0.03485001251101494,20.700929252075582,101107.859375,69.22569759693047
1,43123005,43123,Reus,peri-urban,Reus,41.150803,1.120201,102,2016-07-15,2016,7,15,2,55.0,0.035159628838300705,19.736619852681372,101145.8125,70.09696465420146
2,43123005,43123,Reus,peri-urban,Reus,41.150803,1.120201,102,2016-07-15,2016,7,15,3,64.0,0.03480159491300583,19.307238426721256,101164.484375,69.49785495521284
3,43123005,43123,Reus,peri-urban,Reus,41.150803,1.120201,102,2016-07-15,2016,7,15,4,63.0,0.03395615145564079,19.099588890416385,101179.40625,67.86771616187897
4,43123005,43123,Reus,peri-urban,Reus,41.150803,1.120201,102,2016-07-15,2016,7,15,5,64.0,0.032572854310274124,18.831384484329305,101196.375,65.17366804458305
5,43123005,43123,Reus,peri-urban,Reus,41.150803,1.120201,102,2016-07-15,2016,7,15,6,63.0,0.03185576573014259,18.91930260569302,101208.375,63.727244775327904
6,43123005,43123,Reus,peri-urban,Reus,41.150803,1.120201,102,2016-07-15,2016,7,15,7,60.0,0.03133796900510788,20.10961284445017,101215.53125,62.44135286112534
7,43123005,43123,Reus,peri-urban,Reus,41.150803,1.120201,102,2016-07-15,2016,7,15,8,,0.03327898308634758,22.27296348201537,101206.5859375,65.81746128342887
8,43123005,43123,Reus,peri-urban,Reus,41.150803,1.120201,102,2016-07-15,2016,7,15,9,,0.03782133013010025,24.454958268472296,101193.5390625,74.2430792306047
9,43123005,43123,Reus,peri-urban,Reus,41.150803,1.120201,102,2016-07-15,2016,7,15,10,,0.04096630960702896,26.38051838648687,101168.9296875,79.88026104257922
