,CODI EOI,CODI INE,NOM ESTACIO,AREA URBANA,MUNICIPI,LATITUD,LONGITUD,ALTITUD,DATA,YEAR,MONTH,DAY,HOUR,OBSERVATION,M_PM10_ug m^-3,M_T_celcius,M_P,M_PM10_ug/m3
0,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,1,23.0,824.258056640625,20.998539671406775,101937.03125,824.258056640625
1,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,2,22.0,763.0736083984375,20.728023403015015,101963.9765625,763.0736083984375
2,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,3,25.0,1104.1214599609375,20.36013383704875,101976.9921875,1104.1214599609375
3,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,4,23.0,2246.546875,20.43221285879605,101970.9375,2246.546875
4,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,5,21.0,8116.61083984375,21.115197218848152,101951.0859375,8116.61083984375
5,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,6,19.0,49381.5234375,21.515489025192437,101946.1640625,49381.5234375
6,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,7,18.0,34706.11328125,22.154158914528523,101948.5,34706.11328125
7,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,8,24.0,16265.748046875,23.066504558036854,101959.0859375,16265.748046875
8,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,9,35.0,13083.3857421875,24.45738840949963,101965.140625,13083.3857421875
9,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,10,34.0,16462.70703125,26.16054188836415,101951.21875,16462.70703125
10,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,11,35.0,12221.8779296875,25.69812943147508,101949.9765625,12221.8779296875
11,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,12,43.0,9519.5849609375,26.226372246528967,101928.6640625,9519.5849609375
12,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,13,57.0,7939.12353515625,26.56318815696625,101899.8046875,7939.12353515625
13,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,14,66.0,8069.28515625,26.629146011601904,101862.5703125,8069.28515625
14,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,15,55.0,9990.828125,25.903078830904178,101841.2265625,9990.828125
15,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,16,49.0,10170.9130859375,25.454366680152475,101837.859375,10170.9130859375
16,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,17,51.0,7721.30224609375,24.85289697966965,101835.15625,7721.30224609375
17,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,18,61.0,6192.68359375,24.320788318768905,101834.796875,6192.68359375
18,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,19,57.0,5253.17529296875,23.89297084519353,101841.125,5253.17529296875
19,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,20,61.0,5195.30517578125,23.531935262024774,101883.4140625,5195.30517578125
20,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,21,49.0,5713.71142578125,23.318939153078873,101902.4453125,5713.71142578125
21,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,22,43.0,4669.73876953125,23.100664600257744,101914.8203125,4669.73876953125
22,8019004,8019,Barcelona (Poblenou),urban,Barcelona,41.403878000000006,2.204501,3,2016-07-15,2016,7,15,23,37.0,4721.052734375,22.86132809019773,101925.90625,4721.052734375
