,CODI EOI,CODI INE,NOM ESTACIO,AREA URBANA,MUNICIPI,LATITUD,LONGITUD,ALTITUD,DATA,YEAR,MONTH,DAY,HOUR,OBSERVATION,M_SO2_ppmv,M_T_celcius,M_P,M_SO2_ug/m3
0,43162005,43162,Vandellòs (Barranc del Terme),rural,Vandellòs i l'Hospitalet de l',40.939439,0.83139,96,2016-07-15,2016,7,15,1,1.0,0.0019951402209699154,17.369670331855673,100696.671875,5.3285117204028305
1,43162005,43162,Vandellòs (Barranc del Terme),rural,Vandellòs i l'Hospitalet de l',40.939439,0.83139,96,2016-07-15,2016,7,15,2,1.0,0.002072355942800641,17.13653416024954,100728.1875,5.540913970222376
2,43162005,43162,Vandellòs (Barranc del Terme),rural,Vandellòs i l'Hospitalet de l',40.939439,0.83139,96,2016-07-15,2016,7,15,3,1.0,0.002137950388714671,16.91909675878935,100751.375,5.721897446355235
3,43162005,43162,Vandellòs (Barranc del Terme),rural,Vandellòs i l'Hospitalet de l',40.939439,0.83139,96,2016-07-15,2016,7,15,4,1.0,0.0021948013454675674,16.661718961407303,100762.4375,5.879912549573032
4,43162005,43162,Vandellòs (Barranc del Terme),rural,Vandellòs i l'Hospitalet de l',40.939439,0.83139,96,2016-07-15,2016,7,15,5,1.0,0.0021810531616210938,16.44882583355468,100772.0859375,5.8479362585580725
5,43162005,43162,Vandellòs (Barranc del Terme),rural,Vandellòs i l'Hospitalet de l',40.939439,0.83139,96,2016-07-15,2016,7,15,6,1.0,0.0020961076952517033,16.588877078445933,100781.25,5.617970930307151
6,43162005,43162,Vandellòs (Barranc del Terme),rural,Vandellòs i l'Hospitalet de l',40.939439,0.83139,96,2016-07-15,2016,7,15,7,1.0,0.0019104023231193423,17.30213479134511,100792.3984375,5.108236215090325
7,43162005,43162,Vandellòs (Barranc del Terme),rural,Vandellòs i l'Hospitalet de l',40.939439,0.83139,96,2016-07-15,2016,7,15,8,1.0,0.0014964324655011296,19.404450764220428,100784.15625,3.9722411280129757
8,43162005,43162,Vandellòs (Barranc del Terme),rural,Vandellòs i l'Hospitalet de l',40.939439,0.83139,96,2016-07-15,2016,7,15,9,1.0,0.0013620065292343497,21.84787173820422,100768.3046875,3.5849011596972646
9,43162005,43162,Vandellòs (Barranc del Terme),rural,Vandellòs i l'Hospitalet de l',40.939439,0.83139,96,2016-07-15,2016,7,15,10,1.0,0.0013062965590506792,24.3736005248345,100735.65625,3.407975854172098
